Author name	Unique Author ID	Paper ID	Coauthors	Year	Venue	Title
arobinda gupta	agupta-12	2964	arobinda gupta|sukumar ghosh|sriram v. pemmaraju	1997	distributed computing	stabil algorithm maximum flow problem
arobinda gupta	agupta-12	2184	arobinda gupta|sukumar ghosh|sriram v. pemmaraju	1997	sac	fault network protocol
arobinda gupta	agupta-12	3256	arobinda gupta|sukumar ghosh	1996	inf. process. lett.	exercis fault stabil leader elect
arobinda gupta	agupta-12	2964	arobinda gupta|sukumar ghosh|sriram v. pemmaraju	1997	distributed computing	stabil algorithm maximum flow problem
alok gupta	agupta-13	991	alok gupta|thomas o'donnell|marie-pierre dubuisson-jolly	1998	iccv	cooper framework segment d activ contour d hybrid model appli branch cylindr structur
alok gupta	agupta-13	986	alok gupta|marie-pierre dubuisson-jolly|cheng-chung liang	1998	iccv	optim polylin track arteri motion compens coronari angiographi
alok gupta	agupta-13	352	alok gupta|thomas o'donnell|terrance e. boult	1997	cvrmed	model recoveri cylindr structur medic imag data
alok gupta	agupta-13	3592	alok gupta|bir bhanu|terrance e. boult|david michael	2002	mach. vis. appl.	introduct special issu innov applic comput vision
alok gupta	agupta-13	349	alok gupta|thomas o'donnell|terrance e. boult	1996	cvpr	global model parametr offset appli cardiac motion recoveri
alok gupta	agupta-13	342	alok gupta|gareth funka-lea	1996	cvpr	hybrid model recov cardiac wall motion tag mr imag
alok gupta	agupta-13	348	alok gupta|thomas o'donnell|shmuel aharon|gareth funka-lea|sandra simon halliburton|richard d. white	2000	cvpr	multi modal model base registr cardiac domain
anil k. gupta	agupta-14	3680	anil k. gupta|jeremy p. chew	2001	perform. eval.	fair perform dynam weight atm abr servic
anil k. gupta	agupta-14	896	anil k. gupta|jeremy p. chew	2000	icc (3)	improv fair long vc activ fair atm abr servic
anil k. gupta	agupta-14	898	anil k. gupta|xiaoqun wang	1997	icc (3)	control isochron traffic crma atm interwork
anil k. gupta	agupta-14	1228	anil k. gupta|md. shamsuzzaman|bu-sung lee	2001	icn (2)	consolid algorithm point multipoint abr servic atm network
anil k. gupta	agupta-14	1590	anil k. gupta|nicolas d. georganas	1991	infocom	analysi packet switch input output buffer speed constraint
anil k. gupta	agupta-14	1591	anil k. gupta|nicolas d. georganas	1992	infocom	prioriti perform atm packet switch
anil k. gupta	agupta-14	2869	anil k. gupta|luis orozco-barbosa|nicolas d. georganas	1993	computer networks and isdn systems	switch modul atm switch system interconnect network
alok gupta	agupta-15	3232	alok gupta|boris jukic|manoj parameswaran|dale o. stahl|andrew b. whinston	1997	ieee internet computing	streamlin digit economi avert tragedi common
alok gupta	agupta-15	2774	alok gupta|dale o. stahl|andrew b. whinston	1999	commun. acm	econom network manag
alok gupta	agupta-15	225	alok gupta|prabhudev konana|andrew b. whinston	1996	dart@cikm	research issu real time dbm context electron commerc
alok gupta	agupta-15	3232	alok gupta|boris jukic|manoj parameswaran|dale o. stahl|andrew b. whinston	1997	ieee internet computing	streamlin digit economi avert tragedi common
alok gupta	agupta-15	2774	alok gupta|dale o. stahl|andrew b. whinston	1999	commun. acm	econom network manag
alok gupta	agupta-15	769	alok gupta|ravi bapna|paulo b. goes	2001	hicss	simul onlin yanke auction optim seller revenu
alok gupta	agupta-15	3322	alok gupta|ravi bapna|paulo b. goes	2000	information technology and management	theoret empir investig multi item line auction
alok gupta	agupta-15	3167	alok gupta|ramnath k. chellappa	2002	int. journal of network management	manag comput resourc activ intranet
alok gupta	agupta-15	3019	alok gupta|andrew n. k. chen|paulo b. goes|james r. marsden	2004	decision support systems	databas design modern organ identifi robust structur chang queri pattern arriv rate condit
alok gupta	agupta-15	2765	alok gupta|ravi bapna|paulo b. goes	2001	commun. acm	insight analys onlin auction
alok gupta	agupta-15	769	alok gupta|ravi bapna|paulo b. goes	2001	hicss	simul onlin yanke auction optim seller revenu
alok gupta	agupta-15	777	alok gupta|ram d. gopal	2002	hicss	minitrack introduct
alok gupta	agupta-15	3561	alok gupta|ram d. gopal	2010	management science	trade higher softwar piraci higher profit case phantom piraci
alok gupta	agupta-15	3323	alok gupta|leigh l. linden|dale o. stahl|andrew b. whinston	2001	information technology and management	benefit cost adopt usag base price subnetwork
alok gupta	agupta-15	3017	alok gupta|ravi bapna|paulo b. goes	2001	decision support systems	compar analysi multi item onlin auction evid laboratori
alok gupta	agupta-15	3560	alok gupta|ravi bapna|paulo b. goes	2003	management science	analysi design busi consum onlin auction
alok gupta	agupta-15	3015	alok gupta|ravi bapna|paulo b. goes|gilbert g. karuga	2002	decision sciences	optim design onlin auction channel analyt empir comput insight
alok gupta	agupta-15	3321	alok gupta|ravi bapna|paulo b. goes	2003	information systems research	replic onlin yanke auction analyz auction bidder strategi
alok gupta	agupta-15	595	alok gupta|bo-chiuan su|zhiping d. walter	2004	eee	econom analysi consum purchas intent electron tradit retail channel competit strateg implic
alok gupta	agupta-15	3079	alok gupta|y. alex tung|james r. marsden	2004	information & management	digit signatur modif achiev success gener e busi process
alok gupta	agupta-15	3020	alok gupta|dale o. stahl|andrew b. whinston	1998	decision support systems	manag comput resourc intranet electron commerc perspect
alok gupta	agupta-15	3465	alok gupta|boris jukic|dale o. stahl|andrew b. whinston	2000	j. of management information systems	extract consum privat inform implement incent compat internet traffic price
anubhav gupta	agupta-16	179	anubhav gupta|poul frederick williams|armin biere|edmund m. clarke	2000	cav	combin decis diagram sat procedur effici symbol model check
anubhav gupta	agupta-16	176	anubhav gupta|edmund m. clarke|james h. kukula|ofer strichman	2002	cav	sat base abstract refin ilp machin learn techniqu
anubhav gupta	agupta-16	376	anubhav gupta|aarti gupta|zijiang yang|pranav ashar	2001	dac	dynam detect remov inact claus sat applic imag comput
anubhav gupta	agupta-16	664	anubhav gupta|aarti gupta|zijiang yang|pranav ashar	2000	fmcad	sat base imag comput applic reachabl analysi
anubhav gupta	agupta-16	754	anubhav gupta|ram suryanarayan|travis n. blalock	2003	acm great lakes symposium on vlsi	slew rate enhanc techniqu oper amplifi base tunabl activ gm base capacit multipl circuit
anubhav gupta	agupta-16	179	anubhav gupta|poul frederick williams|armin biere|edmund m. clarke	2000	cav	combin decis diagram sat procedur effici symbol model check
avaneendra gupta	agupta-17	928	avaneendra gupta|john p. hayes	1996	iccad	width minim dimension cmo cell integ program
avaneendra gupta	agupta-17	929	avaneendra gupta|john p. hayes	1998	iccad	optim d cell layout integr transistor fold
avaneendra gupta	agupta-17	377	avaneendra gupta|john p. hayes	1997	dac	clip optim layout gener dimension cmo cell
avaneendra gupta	agupta-17	4019	avaneendra gupta|john p. hayes	2000	acm trans. design autom. electr. syst.	clip integ program base optim layout synthesi d cmo cell
ashish kumar gupta	agupta-18	2281	ashish kumar gupta|surajit chaudhuri|vivek r. narasayya	2002	sigmod conference	compress sql workload
ashish kumar gupta	agupta-18	2580	ashish kumar gupta|alon y. halevy|dan suciu	2002	webdb	view select stream process
ashish kumar gupta	agupta-18	2287	ashish kumar gupta|dan suciu	2003	sigmod conference	stream process xpath queri predic
ashish kumar gupta	agupta-18	2580	ashish kumar gupta|alon y. halevy|dan suciu	2002	webdb	view select stream process
ashish kumar gupta	agupta-18	2102	ashish kumar gupta|dan suciu|alon y. halevy	2003	pods	view select problem xml content base rout
ashish kumar gupta	agupta-18	2287	ashish kumar gupta|dan suciu	2003	sigmod conference	stream process xpath queri predic
anurag gupta	agupta-19	535	anurag gupta|kanad chakraborty|pinaki mazumder	1998	dft	silicon compil fault toler rom
anurag gupta	agupta-19	427	anurag gupta|kanad chakraborty|mayukh bhattacharya|shriram kulkarni|pinaki mazumder	1999	date	physic design tool built repair static ram
anurag gupta	agupta-19	2642	anurag gupta|larry whitman|ramesh k. agarwal	2001	winter simulation conference	suppli chain agent decis aid system scada
anoop gupta	agupta-1	107	anoop gupta|rohit chandra|scott devine|ben verghese|mendel rosenblum	1994	asplos	schedul page migrat multiprocessor comput server
anoop gupta	agupta-1	2266	anoop gupta|john chapin|stephen alan herrod|mendel rosenblum	1995	sigmetrics	memori system perform unix cc numa multiprocessor
anoop gupta	agupta-1	3868	anoop gupta|wolf-dietrich weber	1992	ieee trans. computers	cach invalid pattern share memori multiprocessor
anoop gupta	agupta-1	1681	anoop gupta|david r. cheriton|patrick d. boyle|hendrik a. goosen	1988	isca	vmp multiprocessor initi experi refin perform evlauat
anoop gupta	agupta-1	1712	anoop gupta|wolf-dietrich weber	1989	isca	explor benefit multipl hardwar context multiprocessor architectur preliminari result
anoop gupta	agupta-1	1684	anoop gupta|kourosh gharachorloo|daniel lenoski|james laudon|phillip b. gibbons|john l. hennessy	1990	isca	memori consist event order scalabl share memori multiprocessor
anoop gupta	agupta-1	1932	anoop gupta|ross cutler|yong rui|jonathan j. cadiz|ivan tashev|li-wei he|alex colburn|zhengyou zhang|zicheng liu|steve silverberg	2002	acm multimedia	distribut meet meet captur broadcast system
anoop gupta	agupta-1	120	anoop gupta|wolf-dietrich weber	1989	asplos	analysi cach invalid pattern multiprocessor
anoop gupta	agupta-1	1695	anoop gupta|daniel lenoski|james laudon|kourosh gharachorloo|john l. hennessy	1990	isca	directori base cach coher protocol dash multiprocessor
anoop gupta	agupta-1	1315	anoop gupta|wolf-dietrich weber|todd c. mowry	1990	icpp (1)	reduc memori traffic requir scalabl directori base cach coher scheme
anoop gupta	agupta-1	4086	anoop gupta|daniel lenoski|james laudon|truman joe|david nakahira|luis stevens|john l. hennessy	1993	ieee trans. parallel distrib. syst.	dash prototyp logic overhead perform
anoop gupta	agupta-1	1696	anoop gupta|daniel lenoski|james laudon|truman joe|david nakahira|luis stevens|john l. hennessy	1992	isca	dash prototyp implement perform
anoop gupta	agupta-1	2910	anoop gupta|daniel lenoski|james laudon|kourosh gharachorloo|wolf-dietrich weber|john l. hennessy|mark horowitz|monica s. lam	1992	ieee computer	stanford dash multiprocessor
anoop gupta	agupta-1	2273	anoop gupta|margaret martonosi|thomas e. anderson	1993	sigmetrics	effect trace sampl perform debug tool
anoop gupta	agupta-1	2272	anoop gupta|margaret martonosi|thomas e. anderson	1992	sigmetrics	memspi analyz memori system bottleneck program
anoop gupta	agupta-1	2912	anoop gupta|margaret martonosi|thomas e. anderson	1995	ieee computer	tune memori perform sequenti parallel program
anoop gupta	agupta-1	1711	anoop gupta|per stenstrom|truman joe	1992	isca	compar perform evalu cach coher numa coma architectur
anoop gupta	agupta-1	1342	anoop gupta|margaret martonosi	1989	icpp (3)	tradeoff messag pass share memori implement standard cell router
anoop gupta	agupta-1	9	anoop gupta|milind tambe	1988	aaai	suitabl messag pass comput implement product system
anoop gupta	agupta-1	1315	anoop gupta|wolf-dietrich weber|todd c. mowry	1990	icpp (1)	reduc memori traffic requir scalabl directori base cach coher scheme
anoop gupta	agupta-1	2353	anoop gupta|john chapin|mendel rosenblum|scott devine|tirthankar lahiri|dan teodosiu	1995	sosp	hive fault share memori multiprocessor
anoop gupta	agupta-1	2788	anoop gupta|mendel rosenblum|john chapin|dan teodosiu|scott devine|tirthankar lahiri	1996	commun. acm	implement effici fault multiprocessor confin fault share memori multiprocessor environ
anoop gupta	agupta-1	1714	anoop gupta|steven cameron woo|moriyoshi ohara|evan torrie|jaswinder pal singh	1995	isca	splash program character methodolog
anoop gupta	agupta-1	2277	anoop gupta|josep torrellas|andrew tucker	1993	sigmetrics	benefit cach affin schedul share memori multiprocessor summari
anoop gupta	agupta-1	3515	anoop gupta|josep torrellas|andrew tucker	1995	j. parallel distrib. comput.	evalu perform cach affin schedul share memori multiprocessor
anoop gupta	agupta-1	2119	anoop gupta|andrew tucker	1988	ppopp/ppeals	exploit variabl grain parallel runtim
anoop gupta	agupta-1	2358	anoop gupta|andrew tucker	1989	sosp	process control schedul issu multiprogram share memori multiprocessor
anoop gupta	agupta-1	2269	anoop gupta|andrew tucker|shigeru urushibara	1991	sigmetrics	impact oper system schedul polici synchron method perform parallel applic
anoop gupta	agupta-1	8	anoop gupta|charles forgy|allen newell|robert g. wedig	1984	aaai	initi assess architectur product system
anoop gupta	agupta-1	3489	anoop gupta|charles forgy	1989	j. parallel distrib. comput.	static run time characterist op product system
anoop gupta	agupta-1	1468	anoop gupta|rohit chandra|kourosh gharachorloo|vijayaraghavan soundararajan	1994	international conference on supercomputing	perform evalu hybrid hardwar softwar distribut share memori protocol
anoop gupta	agupta-1	109	anoop gupta|kourosh gharachorloo|john l. hennessy	1991	asplos	perform evalu memori consist model share memori multiprocessor
anoop gupta	agupta-1	317	anoop gupta|liwei he|jonathan grudin	2000	cscw	design present demand view
anoop gupta	agupta-1	1685	anoop gupta|charles forgy|allen newell|robert g. wedig	1986	isca	parallel algorithm architectur rule base system
anoop gupta	agupta-1	9	anoop gupta|milind tambe	1988	aaai	suitabl messag pass comput implement product system
anoop gupta	agupta-1	3507	anoop gupta|todd c. mowry	1991	j. parallel distrib. comput.	toler latenc softwar control prefetch share memori multiprocessor
anoop gupta	agupta-1	1687	anoop gupta|ziyad s. hakura	1997	isca	design analysi cach architectur textur map
anoop gupta	agupta-1	111	anoop gupta|mark heinrich|jeffrey kuskin|david ofelt|john heinlein|joel baxter|jaswinder pal singh|richard simoni|kourosh gharachorloo|david nakahira|mark horowitz|mendel rosenblum|john l. hennessy	1994	asplos	perform impact flexibl stanford flash multiprocessor
anoop gupta	agupta-1	1939	anoop gupta|yong rui|li-wei he|qiong liu	2001	acm multimedia	build intellig camera manag system
anoop gupta	agupta-1	1692	anoop gupta|jeffrey kuskin|david ofelt|mark heinrich|john heinlein|richard simoni|kourosh gharachorloo|john chapin|david nakahira|joel baxter|mark horowitz|mendel rosenblum|john l. hennessy	1994	isca	stanford flash multiprocessor
anoop gupta	agupta-1	18	anoop gupta|p. pandurang nayak|paul s. rosenbloom	1988	aaai	comparison rete treat product matcher soar
anoop gupta	agupta-1	4015	anoop gupta|charles forgy|allen newell	1989	acm trans. comput. syst.	high speed implement rule base system
anoop gupta	agupta-1	8	anoop gupta|charles forgy|allen newell|robert g. wedig	1984	aaai	initi assess architectur product system
anoop gupta	agupta-1	1685	anoop gupta|charles forgy|allen newell|robert g. wedig	1986	isca	parallel algorithm architectur rule base system
anoop gupta	agupta-1	1313	anoop gupta|charles forgy|dirk kalp|allen newell|milind tambe	1988	icpp (1)	parallel op encor multimax
anoop gupta	agupta-1	2122	anoop gupta|milind tambe|dirk kalp|charles forgy|brian milnes|allen newell	1988	ppopp/ppeals	soar psm e investig match parallel learn product system
anoop gupta	agupta-1	2367	anoop gupta|jaswinder pal singh|edward rothberg	1994	spaa	model commun parallel algorithm fruit interact theori system
anoop gupta	agupta-1	1934	anoop gupta|liwei he	2001	acm multimedia	explor benefit linear time compress
anoop gupta	agupta-1	1935	anoop gupta|liwei he|elizabeth sanocki|jonathan grudin	1999	acm multimedia (1)	auto summar audio video present
anoop gupta	agupta-1	1639	anoop gupta|john heinlein|kourosh gharachorloo|robert p. bosch jr.|mendel rosenblum	1997	ipps	coher block data transfer flash multiprocessor
anoop gupta	agupta-1	110	anoop gupta|john heinlein|kourosh gharachorloo|scott dresser	1994	asplos	integr messag pass share memori stanford flash multiprocessor
anoop gupta	agupta-1	117	anoop gupta|josep torrellas|john l. hennessy	1992	asplos	character cach synchron perform multiprocessor oper system
anoop gupta	agupta-1	2902	anoop gupta|rohit chandra|john l. hennessy	1994	ieee computer	cool object base languag parallel program
anoop gupta	agupta-1	1686	anoop gupta|john l. hennessy|kourosh gharachorloo|todd c. mowry|wolf-dietrich weber	1991	isca	compar evalu latenc reduc toler techniqu
anoop gupta	agupta-1	2117	anoop gupta|rohit chandra|john l. hennessy	1993	ppopp	data local load balanc cool
anoop gupta	agupta-1	1572	anoop gupta|edward rothberg	1989	ijcai	experi implement parallel atm share memori multiprocessor
anoop gupta	agupta-1	1683	anoop gupta|kourosh gharachorloo|john l. hennessy	1992	isca	hide memori latenc dynam schedul share memori multiprocessor
anoop gupta	agupta-1	3870	anoop gupta|mark heinrich|vijayaraghavan soundararajan|john l. hennessy	1999	ieee trans. computers	quantit analysi perform scalabl distribut share memori
anoop gupta	agupta-1	1698	anoop gupta|edward rothberg|jaswinder pal singh	1993	isca	work set cach size node granular issu larg scale multiprocessor
anoop gupta	agupta-1	2035	anoop gupta	1992	parle	stanford dash multiprocessor hardwar softwar approach
anoop gupta	agupta-1	3676	anoop gupta|edward rothberg	1992	parallel computing	parallel iccg hierarch memori multiprocessor address triangular solv bottleneck
anoop gupta	agupta-1	1938	anoop gupta|yong rui|alex acero	2000	acm multimedia	automat extract highlight tv basebal program
anoop gupta	agupta-1	2218	anoop gupta|edward rothberg	1990	sc	techniqu improv perform spars matrix factor multiprocessor workstat
anoop gupta	agupta-1	4061	anoop gupta|anurag acharya|milind tambe	1992	ieee trans. parallel distrib. syst.	implement product system messag pass comput
anoop gupta	agupta-1	2219	anoop gupta|edward rothberg	1993	sc	effici block orient approach parallel spars choleski factor
anoop gupta	agupta-1	2263	anoop gupta|anant agarwal	1988	sigmetrics	memori refer characterist multiprocessor applic mach
anoop gupta	agupta-1	1939	anoop gupta|yong rui|li-wei he|qiong liu	2001	acm multimedia	build intellig camera manag system
anoop gupta	agupta-1	1191	anoop gupta|navin chaddha|avneesh agrawal|teresa h. y. meng	1994	icmcs	variabl compress jpeg
anoop gupta	agupta-1	1938	anoop gupta|yong rui|alex acero	2000	acm multimedia	automat extract highlight tv basebal program
anoop gupta	agupta-1	315	anoop gupta|jonathan j. cadiz|anand balachandran|elizabeth sanocki|jonathan grudin|gavin jancke	2000	cscw	distanc learn distribut collabor video view
anoop gupta	agupta-1	203	anoop gupta|francis c. li|elizabeth sanocki|li-wei he|yong rui	2000	chi	brows digit video
anoop gupta	agupta-1	1	anoop gupta|franz barachini|hans mistelberger	1992	aaai	run time predict product system
anoop gupta	agupta-1	2863	anoop gupta|david bargeron|jonathan grudin|elizabeth sanocki	1999	computer networks	annot stream video web system design usag studi
anoop gupta	agupta-1	200	anoop gupta|liwei he|elizabeth sanocki|jonathan grudin	2000	chi	compar present summari slide read listen
anoop gupta	agupta-1	770	anoop gupta|david bargeron|jonathan grudin|elizabeth sanocki|francis c. li	2001	hicss	asynchron collabor multimedia applic demand train
anoop gupta	agupta-1	109	anoop gupta|kourosh gharachorloo|john l. hennessy	1991	asplos	perform evalu memori consist model share memori multiprocessor
anoop gupta	agupta-1	3486	anoop gupta|kourosh gharachorloo|sarita v. adve|john l. hennessy|mark d. hill	1992	j. parallel distrib. comput.	program differ memori consist model
anoop gupta	agupta-1	1311	anoop gupta|kourosh gharachorloo|john l. hennessy	1991	icpp (1)	techniqu enhanc perform memori consist model
anoop gupta	agupta-1	3513	anoop gupta|jaswinder pal singh|chris holt|takashi totsuka|john l. hennessy	1995	j. parallel distrib. comput.	load balanc data local adapt hierarch n bodi method barn hut fast multipol rasios
anoop gupta	agupta-1	2221	anoop gupta|jaswinder pal singh|chris holt|john l. hennessy	1993	sc	parallel adapt fast multipol method
anoop gupta	agupta-1	316	anoop gupta|jonathan j. cadiz|gina danielle venolia|gavin jancke	2002	cscw	design deploi inform awar interfac
anoop gupta	agupta-1	202	anoop gupta|gavin jancke|gina danielle venolia|jonathan grudin|jonathan j. cadiz	2001	chi	link public space technic social issu
anoop gupta	agupta-1	201	anoop gupta|gavin jancke|jonathan grudin	2000	chi	present local remot audienc design telep system
anoop gupta	agupta-1	799	anoop gupta|stephen a. white|jonathan grudin|harry chesley|greg kimberly|elizabeth sanocki	2000	hicss	evolv system educ distanc
anoop gupta	agupta-1	115	anoop gupta|todd c. mowry|monica s. lam	1992	asplos	design evalu compil algorithm prefetch
anoop gupta	agupta-1	207	anoop gupta|nosa omoigui|liwei he|jonathan grudin|elizabeth sanocki	1999	chi	time compress system concern usag benefit
anoop gupta	agupta-1	114	anoop gupta|james laudon|mark horowitz	1994	asplos	interleav multithread techniqu target multiprocessor workstat
anoop gupta	agupta-1	1935	anoop gupta|liwei he|elizabeth sanocki|jonathan grudin	1999	acm multimedia (1)	auto summar audio video present
anoop gupta	agupta-1	4017	anoop gupta|jaswinder pal singh|john l. hennessy	1995	acm trans. comput. syst.	implic hierarch n bodi method multiprocessor architectur
anoop gupta	agupta-1	2222	anoop gupta|jaswinder pal singh|truman joe|john l. hennessy	1993	sc	empir comparison kendal squar research ksr stanford dash multiprocessor
anoop gupta	agupta-1	2913	anoop gupta|jaswinder pal singh|marc levoy	1994	ieee computer	parallel visual algorithm perform architectur implic
anoop gupta	agupta-1	2914	anoop gupta|jaswinder pal singh|john l. hennessy	1993	ieee computer	scale parallel program multiprocessor methodolog exampl
anoop gupta	agupta-1	2206	anoop gupta|david c. douglas|olaf m. lubeck|david maier|paul messina|justin r. ratner|burton j. smith|frederica darema	1993	sc	s futur parallel architectur
anoop gupta	agupta-1	393	anoop gupta|larry soule	1989	dac	character parallel deadlock distribut digit logic simul
anoop gupta	agupta-1	4040	anoop gupta|larry soule	1991	acm trans. model. comput. simul.	evalu chandi misra bryant algorithm digit logic simul
anoop gupta	agupta-1	199	anoop gupta|a. j. bernheim brush|david bargeron|jonathan grudin	2002	chi	notif share annot digit document
anoop gupta	agupta-1	198	anoop gupta|a. j. bernheim brush|david bargeron|jonathan j. cadiz	2001	chi	robust annot posit digit document
anoop gupta	agupta-1	2356	anoop gupta|mendel rosenblum|edouard bugnion|stephen alan herrod|emmett witchel	1995	sosp	impact architectur trend oper system perform
anoop gupta	agupta-1	1710	anoop gupta|vijayaraghavan soundararajan|mark heinrich|ben verghese|kourosh gharachorloo|john l. hennessy	1998	isca	flexibl memori replic migrat cach coher dsm multiprocessor
anoop gupta	agupta-1	208	anoop gupta|yong rui|jonathan j. cadiz	2001	chi	view meet captur omni direct camera
anoop gupta	agupta-1	119	anoop gupta|ben verghese|mendel rosenblum	1998	asplos	perform isol share isol share memori multiprocessor
anoop gupta	agupta-1	204	anoop gupta|qiong liu|yong rui|jonathan j. cadiz	2001	chi	autom camera manag lectur room environ
anoop gupta	agupta-1	118	anoop gupta|ben verghese|scott devine|mendel rosenblum	1996	asplos	oper system support improv data local cc numa comput server
anoop gupta	agupta-1	107	anoop gupta|rohit chandra|scott devine|ben verghese|mendel rosenblum	1994	asplos	schedul page migrat multiprocessor comput server
abhishek gupta	agupta-20	2014	abhishek gupta|anshul kothari|divyakant agrawal|subhash suri	2003	peer-to-peer computing	rang address network pp cach architectur data rang
abhishek gupta	agupta-20	214	abhishek gupta|divyakant agrawal|amr el abbadi	2003	cidr	approxim rang select queri peer peer system
abhishek gupta	agupta-20	763	abhishek gupta|marcia kilchenman o'malley	2003	haptics	passiv activ assist human perform simul underactu dynam task
anurag p. gupta	agupta-21	379	anurag p. gupta|daniel p. siewiorek	1994	dac	autom multi cycl symbol time verif microprocessor base design
anurag p. gupta	agupta-21	373	anurag p. gupta|patrick edmond|daniel p. siewiorek|audrey a. brennan	1990	dac	assur autom design depend
anurag p. gupta	agupta-21	354	anurag p. gupta|william p. birmingham|daniel p. siewiorek	1989	dac	micon system comput design
aloke gupta	agupta-22	2268	aloke gupta|wen-mei w. hwu	1992	sigmetrics	xprof profil execut x window program
aloke gupta	agupta-22	3819	aloke gupta|wen-mei w. hwu	1993	softw., pract. exper.	execut profil window orient applic
aloke gupta	agupta-22	3979	aloke gupta|w. kent fuchs	1993	ieee trans. knowl. data eng.	garbag collect distribut object orient system
